OrderID,OrderDate,Region,Department,Product,SalesAmount,Cost,Profit,Quantity
67,11/25/2024,West,Electronics,Tablet,184.36,137.02,47.34,3
68,7/13/2024,West,Furniture,Cabinet,620.34,422.99,197.35,1
69,9/7/2024,North,Clothing,Jacket,581.94,428.64,153.3,3
70,11/9/2024,South,Clothing,T-Shirt,100.78,79.04,21.74,4
71,7/21/2024,East,Clothing,Jeans,487.67,389.38,98.29,4
72,11/11/2024,North,Clothing,Jacket,400.76,278.44,122.32,1
73,4/23/2024,East,Clothing,Shoes,80.5,52.1,28.4,1
74,11/13/2024,North,Furniture,Bookshelf,364.97,294.52,70.45,2
75,5/12/2024,North,Furniture,Office Chair,362.49,300.95,61.54,4
76,12/26/2024,East,Furniture,Office Chair,560.38,364.49,195.89,2
77,3/17/2023,South,Furniture,Cabinet,131.77,89.15,42.62,4
78,11/14/2024,North,Furniture,Office Chair,464.38,359.78,104.6,4
79,6/16/2023,West,Electronics,Headphones,430.98,291.62,139.36,3
80,12/27/2023,West,Clothing,Jeans,556.76,408.26,148.5,1
81,5/24/2023,North,Clothing,Shoes,654.64,468.68,185.96,3
82,4/7/2023,North,Furniture,Bookshelf,114.53,94.18,20.35,1
83,12/8/2024,North,Clothing,Jacket,160.09,131.81,28.28,1
84,9/14/2023,North,Electronics,Headphones,89.5,64.02,25.48,3
85,7/2/2023,South,Clothing,Jacket,496,336.67,159.33,4
86,8/30/2023,North,Electronics,Laptop,672.37,484.04,188.33,5
87,10/22/2024,South,Furniture,Office Chair,195.41,130.16,65.25,2
88,6/9/2023,West,Furniture,Cabinet,367.4,304.08,63.32,4
89,5/19/2024,East,Electronics,Tablet,210.64,138.7,71.94,2
90,7/13/2024,East,Furniture,Desk,553.07,460.25,92.82,3
91,3/25/2024,North,Furniture,Bookshelf,284.08,225.34,58.74,3
92,1/15/2023,North,Furniture,Cabinet,139.72,110.95,28.77,5
93,9/22/2023,West,Electronics,Smartphone,706.68,475.03,231.65,3
94,9/26/2023,East,Electronics,Headphones,501.68,415.55,86.13,2
95,11/18/2023,South,Electronics,Smartphone,596.72,415.85,180.87,3
96,9/19/2023,East,Electronics,Laptop,334.76,252.04,82.72,2
97,12/3/2024,South,Electronics,Tablet,364.96,259.11,105.85,5
98,12/8/2024,South,Electronics,Headphones,212.57,147.85,64.72,1
99,7/11/2024,West,Electronics,Headphones,667.08,443.2,223.88,3
100,11/21/2024,North,Furniture,Bookshelf,724.42,465.68,258.74,2
101,4/16/2023,North,Electronics,Tablet,341.64,279.29,62.35,2
102,12/12/2024,North,Electronics,Smartphone,215.32,137.44,77.88,5
103,10/8/2024,West,Electronics,Laptop,508.55,366.07,142.48,5
104,4/7/2023,East,Clothing,Jacket,173.53,126.43,47.1,5
105,7/20/2023,North,Electronics,Laptop,534.65,440.37,94.28,3
106,7/8/2023,North,Furniture,Cabinet,336.38,254.74,81.64,5
107,12/26/2023,North,Clothing,Jacket,550.93,455.62,95.31,4
108,9/22/2024,North,Furniture,Bookshelf,52.04,37.93,14.11,3
109,7/14/2023,East,Clothing,Jeans,535.24,436.63,98.61,2
110,1/9/2023,North,Furniture,Cabinet,34.67,23.89,10.78,2
111,7/20/2023,South,Electronics,Tablet,438.35,279.26,159.09,3
112,2/14/2024,North,Electronics,Tablet,273.12,215.51,57.61,1
113,9/3/2023,South,Clothing,Jeans,752.01,476.23,275.78,3
114,12/29/2023,South,Clothing,Shoes,439.38,356.55,82.83,5
115,8/31/2023,East,Electronics,Headphones,85.14,63.39,21.75,5
116,5/6/2023,East,Electronics,Tablet,717.95,466.89,251.06,3
117,4/15/2023,North,Clothing,Jeans,441.03,362.09,78.94,3
118,12/8/2023,East,Electronics,Headphones,200.85,165.3,35.55,4
119,12/19/2023,West,Electronics,Tablet,137.78,89.88,47.9,5
120,12/11/2023,North,Electronics,Laptop,87.56,67.4,20.16,5
121,7/8/2023,North,Electronics,Smartphone,315.47,208.44,107.03,2
122,4/28/2024,West,Electronics,Tablet,204.24,133.96,70.28,3
123,1/11/2024,West,Electronics,Laptop,538.51,383.95,154.56,3
124,11/23/2024,East,Clothing,Jacket,36.9,28.02,8.88,1
125,5/6/2024,West,Electronics,Headphones,77.18,59.82,17.36,5
126,12/18/2023,South,Furniture,Office Chair,79.78,58.92,20.86,4
127,6/1/2023,West,Furniture,Bookshelf,296.39,241.35,55.04,4
128,8/18/2023,West,Electronics,Laptop,275.8,193.77,82.03,1
129,5/13/2024,South,Furniture,Office Chair,241.16,176.5,64.66,1
130,10/27/2023,East,Electronics,Smartphone,121.74,96.46,25.28,1
131,11/5/2023,South,Electronics,Laptop,288.46,222.22,66.24,2
132,11/17/2023,West,Electronics,Headphones,134.91,90.52,44.39,2
133,12/29/2024,North,Clothing,Shoes,227.93,178.23,49.7,3
134,10/9/2024,North,Clothing,Jeans,197.46,129.19,68.27,2
135,4/6/2024,South,Furniture,Bookshelf,378.43,237.91,140.52,3
136,2/12/2023,West,Furniture,Office Chair,186.06,131.49,54.57,4
137,2/15/2023,North,Furniture,Cabinet,48,39.24,8.76,5
138,9/27/2024,West,Electronics,Laptop,207.89,163.68,44.21,1
139,8/23/2024,West,Furniture,Desk,408.69,334.56,74.13,5
140,7/3/2023,West,Electronics,Headphones,473.98,384.56,89.42,3
141,3/28/2024,North,Clothing,Jacket,115.61,77.07,38.54,1
142,6/7/2024,West,Electronics,Smartphone,176.5,142.05,34.45,1
143,6/11/2023,East,Clothing,Jacket,253.37,182.46,70.91,4
144,8/3/2023,South,Electronics,Laptop,397.8,311.3,86.5,3
145,11/10/2023,West,Furniture,Cabinet,110.16,80.73,29.43,4
146,8/7/2024,North,Electronics,Laptop,596.12,380.69,215.43,3
147,5/2/2024,West,Electronics,Tablet,184.44,142.77,41.67,5
148,3/6/2023,East,Electronics,Laptop,601.5,435.19,166.31,1
149,10/8/2023,East,Clothing,T-Shirt,502.18,326.59,175.59,2
150,1/14/2024,South,Electronics,Laptop,576.28,372.87,203.41,3
151,7/25/2024,East,Furniture,Desk,149.69,109.54,40.15,4
152,12/31/2023,South,Clothing,Jacket,293.9,195.33,98.57,1
153,12/15/2024,East,Clothing,Jeans,50.66,39.76,10.9,2
154,10/26/2024,West,Electronics,Tablet,132.48,87.53,44.95,3
155,8/2/2024,South,Electronics,Headphones,413.41,265.94,147.47,2
156,10/25/2024,West,Clothing,Jeans,306.37,248.15,58.22,3
157,12/15/2023,South,Furniture,Cabinet,550.11,382.63,167.48,3
158,6/28/2023,North,Electronics,Tablet,369.12,288.65,80.47,5
159,6/9/2023,East,Clothing,Jacket,20.63,13.4,7.23,1
160,7/18/2023,East,Clothing,Jacket,395.78,274.05,121.73,3
161,6/11/2023,East,Clothing,Jeans,178.18,112.26,65.92,1
162,3/1/2024,North,Furniture,Desk,184.5,127.79,56.71,1
163,5/25/2024,East,Furniture,Desk,363.15,252.03,111.12,1
164,3/29/2023,North,Furniture,Bookshelf,112.43,83.93,28.5,5
165,9/26/2023,South,Furniture,Cabinet,25.35,20.77,4.58,2
166,7/7/2023,East,Clothing,Shoes,218.29,153.81,64.48,3
167,10/27/2023,South,Electronics,Laptop,499.99,340,159.99,5
168,10/25/2024,West,Clothing,T-Shirt,64.44,45.84,18.6,3
169,3/5/2024,North,Electronics,Smartphone,432.99,298.82,134.17,4
170,1/16/2023,West,Clothing,Jeans,456.9,299.38,157.52,1
171,11/10/2024,South,Furniture,Office Chair,68.36,55.57,12.79,2
172,12/31/2023,East,Electronics,Tablet,53.12,36.64,16.48,2
173,7/25/2023,South,Electronics,Smartphone,673.88,446.55,227.33,2
174,2/26/2023,North,Furniture,Office Chair,702.36,469.64,232.72,5
175,4/28/2023,South,Furniture,Desk,348.3,231.38,116.92,2
176,6/4/2023,South,Clothing,Jeans,610.42,445.33,165.09,5
177,1/11/2023,North,Clothing,T-Shirt,736.67,475.98,260.69,5
178,8/5/2024,North,Clothing,Shoes,297.43,247.73,49.7,1
179,6/7/2023,North,Furniture,Desk,18.45,14,4.45,3
180,11/8/2024,North,Electronics,Tablet,472.71,319.52,153.19,2
181,3/8/2023,West,Clothing,Jeans,743.65,477.27,266.38,2
182,7/28/2023,North,Electronics,Laptop,132.03,88.84,43.19,1
183,9/29/2024,North,Furniture,Bookshelf,209.29,167.93,41.36,4
184,3/23/2024,East,Furniture,Desk,368.06,255.55,112.51,3
185,5/5/2024,West,Electronics,Smartphone,411.71,257.49,154.22,5
186,3/5/2024,South,Furniture,Desk,390.53,298.89,91.64,1
187,10/6/2024,North,Clothing,Jacket,158.82,99.44,59.38,1
188,5/27/2024,East,Clothing,Jacket,547.32,434.08,113.24,4
189,8/1/2024,East,Clothing,T-Shirt,111.55,88.31,23.24,1
190,3/16/2023,East,Furniture,Office Chair,521.25,339.17,182.08,5
191,10/25/2023,North,Furniture,Bookshelf,405.69,276.47,129.22,4
192,8/17/2023,North,Furniture,Desk,168.83,106.4,62.43,1
193,12/31/2024,East,Clothing,T-Shirt,100.85,69.73,31.12,4
194,9/6/2023,South,Furniture,Desk,450.06,302.45,147.61,1
195,7/26/2023,South,Furniture,Office Chair,554.5,420.27,134.23,4
196,10/15/2023,East,Electronics,Laptop,335.91,257.04,78.87,1
197,11/11/2023,North,Furniture,Cabinet,18.75,13.15,5.6,2
198,10/10/2024,North,Furniture,Cabinet,594.2,406.98,187.22,3
199,11/15/2023,West,Clothing,Shoes,264.31,175.41,88.9,5
200,2/8/2024,South,Clothing,T-Shirt,165.52,118.72,46.8,1
201,8/18/2024,North,Electronics,Smartphone,188.96,145.05,43.91,2
202,5/23/2024,West,Electronics,Laptop,625.41,395.53,229.88,3
203,1/20/2023,South,Furniture,Office Chair,131.23,104.4,26.83,1
204,9/28/2024,West,Electronics,Laptop,214.22,163.19,51.03,3
205,1/16/2023,North,Clothing,Jacket,567.9,361.05,206.85,1
206,9/7/2023,North,Electronics,Smartphone,243.7,175.74,67.96,2
207,2/20/2024,East,Electronics,Tablet,141.47,91.7,49.77,1
208,5/15/2024,South,Furniture,Office Chair,666.48,454.44,212.04,1
209,8/13/2023,East,Furniture,Office Chair,135.08,93,42.08,1
210,11/21/2024,East,Furniture,Office Chair,484.14,315.7,168.44,2
211,10/24/2023,South,Clothing,Shoes,39.19,29.75,9.44,3
212,4/11/2023,South,Electronics,Laptop,370.96,242.56,128.4,2
213,1/14/2024,North,Clothing,Jacket,45.5,34.97,10.53,1
214,5/29/2024,West,Furniture,Bookshelf,282.97,214.06,68.91,2
215,12/1/2024,East,Electronics,Laptop,611.76,428.52,183.24,1
216,10/5/2023,North,Clothing,Shoes,226.2,148.69,77.51,5
217,8/11/2023,West,Clothing,Jacket,294.52,204.58,89.94,2
218,10/30/2024,West,Clothing,T-Shirt,394.5,282.51,111.99,3
219,1/18/2023,North,Clothing,T-Shirt,577.44,407.47,169.97,4
220,3/21/2023,West,Clothing,T-Shirt,204.77,146.37,58.4,5
221,10/25/2024,North,Electronics,Smartphone,132.14,88.22,43.92,3
222,1/29/2024,North,Furniture,Desk,365.14,288.51,76.63,2
223,7/24/2023,West,Clothing,Jeans,521.25,360.01,161.24,5
224,9/17/2024,South,Furniture,Desk,523.97,333.31,190.66,5
225,10/2/2023,West,Electronics,Laptop,666.23,447.9,218.33,5
226,3/23/2024,East,Clothing,T-Shirt,152.81,105,47.81,1
227,12/11/2023,East,Clothing,Jacket,295.53,230.77,64.76,5
228,9/12/2024,North,Furniture,Office Chair,652.1,490.81,161.29,3
229,1/12/2024,East,Electronics,Headphones,502.2,405.84,96.36,2
230,2/15/2023,South,Clothing,T-Shirt,442.97,359.47,83.5,3
231,11/28/2023,West,Clothing,Jacket,25.84,19.51,6.33,2
232,1/28/2023,North,Electronics,Laptop,415.67,287.56,128.11,5
233,2/2/2023,East,Electronics,Laptop,19.47,15.02,4.45,1
234,7/25/2023,North,Clothing,Jeans,358.88,230.29,128.59,5
235,9/10/2023,West,Furniture,Cabinet,546.33,344.72,201.61,3
236,5/19/2024,West,Clothing,Jeans,114.06,72.06,42,3
237,9/14/2023,West,Electronics,Headphones,285.52,180.16,105.36,3
238,2/14/2024,South,Clothing,T-Shirt,440.72,316.78,123.94,3
239,8/1/2023,West,Furniture,Office Chair,273.59,178.01,95.58,2
240,6/12/2023,South,Electronics,Laptop,516.55,369.79,146.76,1
241,7/29/2023,West,Clothing,Shoes,685.07,429.38,255.69,5
242,2/28/2023,West,Clothing,Jeans,27,17.11,9.89,3
243,7/22/2023,North,Electronics,Laptop,44.71,33.02,11.69,5
244,9/10/2023,South,Electronics,Headphones,178.81,141.63,37.18,2
245,9/22/2023,South,Furniture,Desk,236.02,162.62,73.4,4
246,8/9/2024,North,Electronics,Laptop,674.2,491.55,182.65,1
247,2/20/2023,East,Electronics,Laptop,374.98,255.35,119.63,1
248,4/21/2023,South,Clothing,Jeans,567.82,355.4,212.42,4
249,4/1/2024,West,Furniture,Desk,523.99,397.13,126.86,3
250,12/31/2023,South,Electronics,Smartphone,324.35,231.26,93.09,3
251,12/28/2023,East,Electronics,Tablet,577.91,393.16,184.75,5
252,10/7/2023,North,Furniture,Cabinet,359.6,290.59,69.01,4
253,7/19/2023,West,Electronics,Tablet,96.39,62.86,33.53,3
254,1/11/2024,East,Clothing,T-Shirt,220.55,162.62,57.93,5
255,6/17/2023,East,Electronics,Smartphone,239.85,198.7,41.15,1
256,10/15/2023,West,Clothing,Jacket,269.53,210.51,59.02,4
257,10/20/2023,East,Clothing,Jacket,479.94,397.14,82.8,3
258,9/12/2024,South,Electronics,Laptop,235.04,188.95,46.09,4
259,6/27/2024,West,Electronics,Headphones,304.76,197.59,107.17,2
260,1/16/2024,South,Electronics,Laptop,371.81,285.16,86.65,3
261,11/19/2023,North,Clothing,Shoes,384.73,246.27,138.46,1
262,2/14/2024,West,Clothing,Jeans,454.24,337.46,116.78,5
263,1/31/2024,North,Furniture,Bookshelf,273.75,177.08,96.67,3
264,1/14/2023,East,Clothing,Jeans,630.7,450.67,180.03,1
265,4/12/2024,North,Clothing,Jeans,190.36,128.34,62.02,4
266,10/20/2024,South,Electronics,Smartphone,411.96,262.29,149.67,3
267,12/27/2024,South,Furniture,Cabinet,476.79,304.56,172.23,4
268,7/11/2024,East,Electronics,Tablet,208.36,136.88,71.48,3
269,7/20/2023,East,Electronics,Laptop,175.53,122.92,52.61,3
270,11/3/2024,South,Electronics,Smartphone,389.64,275.96,113.68,5
271,3/29/2024,South,Furniture,Bookshelf,515.94,325.99,189.95,2
272,8/7/2024,North,Electronics,Smartphone,100.75,72.09,28.66,4
273,2/18/2023,South,Furniture,Desk,468.81,349.89,118.92,1
274,3/28/2023,North,Electronics,Laptop,268.67,179.94,88.73,5
275,1/30/2023,North,Clothing,Jacket,39.14,25.76,13.38,3
276,1/6/2024,North,Electronics,Headphones,396.12,275.42,120.7,3
277,11/22/2023,North,Electronics,Laptop,151.42,118.98,32.44,3
278,10/20/2024,South,Clothing,Shoes,527.99,384.02,143.97,4
279,4/1/2024,South,Electronics,Laptop,145.85,119.92,25.93,2
280,9/18/2024,West,Clothing,Jeans,506.29,350.3,155.99,1
281,1/31/2024,North,Furniture,Office Chair,45.17,31.64,13.53,3
282,1/13/2024,West,Clothing,Jeans,336.09,265.97,70.12,1
283,1/6/2024,North,Furniture,Bookshelf,334.38,247.82,86.56,3
284,11/24/2024,North,Electronics,Headphones,325.39,247.93,77.46,2
285,8/19/2024,East,Electronics,Smartphone,389.68,253.03,136.65,1
286,9/26/2024,North,Electronics,Smartphone,450.3,282.38,167.92,3
287,6/25/2024,East,Furniture,Bookshelf,203.73,139.68,64.05,5
288,7/20/2023,North,Clothing,Shoes,619.56,499.65,119.91,2
289,5/2/2023,East,Furniture,Bookshelf,255.54,176.34,79.2,2
290,12/11/2024,South,Electronics,Smartphone,327.05,254.21,72.84,2
291,10/23/2024,South,Furniture,Desk,68.45,54.13,14.32,5
292,4/30/2023,South,Clothing,Jeans,290.82,217.75,73.07,3
293,2/18/2024,North,Clothing,Shoes,759.78,480.49,279.29,1
294,6/21/2023,North,Clothing,Jacket,54.98,36.29,18.69,2
295,4/12/2024,North,Clothing,Jeans,117.14,78.29,38.85,1
296,5/1/2023,North,Furniture,Desk,98.66,74.32,24.34,1
297,7/10/2023,South,Furniture,Office Chair,439.52,361.18,78.34,3
298,1/21/2024,North,Electronics,Smartphone,162.06,126.48,35.58,4
299,2/18/2023,South,Electronics,Tablet,484.71,305.07,179.64,5
300,3/14/2023,East,Clothing,Jacket,239.27,193.79,45.48,3
301,3/27/2023,North,Electronics,Headphones,229.56,144.19,85.37,5
302,6/14/2024,North,Electronics,Laptop,658.3,470.21,188.09,5
303,5/7/2023,North,Clothing,T-Shirt,24.89,20.69,4.2,2
304,8/2/2024,East,Clothing,Shoes,566.01,377.03,188.98,4
305,11/10/2024,South,Clothing,T-Shirt,473.47,307.4,166.07,4
306,7/20/2024,North,Furniture,Desk,237.08,165.05,72.03,5
307,5/10/2024,North,Clothing,Jeans,356.1,247.69,108.41,4
308,6/11/2024,East,Clothing,Shoes,208.3,137.32,70.98,3
309,9/18/2023,East,Clothing,Jacket,613.9,433.91,179.99,4
310,3/21/2024,West,Furniture,Cabinet,757.97,498.82,259.15,4
311,8/10/2023,South,Electronics,Laptop,22.15,16.73,5.42,5
312,1/17/2024,East,Electronics,Laptop,615.11,498.8,116.31,1
313,10/5/2024,East,Electronics,Headphones,403.93,258.08,145.85,2
314,8/16/2023,South,Furniture,Office Chair,213.7,172.65,41.05,2
315,11/13/2023,South,Furniture,Office Chair,203.41,130.43,72.98,2
316,4/4/2024,East,Electronics,Smartphone,100.27,81.33,18.94,3
317,1/7/2023,West,Clothing,Jacket,30.62,20.69,9.93,1
318,3/16/2023,South,Clothing,Jacket,556.64,444.48,112.16,4
319,6/2/2023,South,Clothing,T-Shirt,593.21,384.04,209.17,2
320,6/1/2023,East,Electronics,Smartphone,427.28,296.38,130.9,3
321,3/1/2023,South,Clothing,Jeans,117.18,83.31,33.87,3
322,5/5/2023,North,Furniture,Desk,483.66,395.07,88.59,5
323,10/16/2024,West,Electronics,Headphones,77.96,50.53,27.43,2
324,1/21/2024,East,Electronics,Smartphone,548.42,422.28,126.14,3
325,10/19/2024,South,Furniture,Desk,548.66,395.53,153.13,1
326,4/15/2023,East,Clothing,Jacket,640.93,485.75,155.18,3
327,6/8/2023,West,Furniture,Bookshelf,543.38,385.56,157.82,3
328,5/13/2024,West,Electronics,Smartphone,112.67,76.29,36.38,5
329,10/9/2024,South,Furniture,Desk,563.95,399.64,164.31,5
330,12/23/2023,West,Electronics,Headphones,315.8,226.09,89.71,5
331,3/18/2023,North,Electronics,Tablet,168.13,114.9,53.23,4
332,4/4/2023,North,Electronics,Smartphone,485.14,329.95,155.19,3
333,6/16/2024,North,Electronics,Tablet,161.25,125.19,36.06,4
334,6/19/2024,South,Electronics,Headphones,734.76,462,272.76,4
335,2/2/2024,West,Electronics,Laptop,714.43,457.14,257.29,2
336,2/12/2023,South,Electronics,Tablet,417.59,341.31,76.28,5
337,5/24/2024,South,Electronics,Smartphone,38.96,32.17,6.79,4
338,9/21/2024,South,Clothing,Jeans,199.02,159.34,39.68,3
339,3/9/2023,North,Furniture,Cabinet,35.42,24.33,11.09,1
340,12/7/2024,West,Clothing,T-Shirt,142.19,96.77,45.42,3
341,3/21/2024,East,Furniture,Bookshelf,658.48,415.25,243.23,5
342,3/31/2024,East,Electronics,Headphones,428.46,284.81,143.65,2
343,11/13/2023,North,Electronics,Laptop,366.76,238.53,128.23,3
344,12/6/2024,North,Furniture,Bookshelf,621.01,494.99,126.02,3
345,10/23/2024,East,Clothing,T-Shirt,507.46,338.16,169.3,1
346,12/5/2024,East,Electronics,Tablet,206.07,130.92,75.15,2
347,1/4/2024,East,Furniture,Desk,489.95,346.6,143.35,5
348,7/12/2023,West,Clothing,Shoes,569.3,469.49,99.81,5
349,11/19/2024,West,Furniture,Bookshelf,529.56,407.15,122.41,1
350,9/27/2024,South,Electronics,Laptop,545.26,386.73,158.53,4
351,2/2/2024,East,Clothing,Jeans,451.16,320.42,130.74,5
352,2/4/2023,North,Electronics,Smartphone,238.53,177.97,60.56,2
353,2/19/2024,North,Furniture,Cabinet,66.43,46.46,19.97,5
354,5/18/2024,East,Electronics,Laptop,485.11,383.08,102.03,5
355,11/12/2024,South,Electronics,Smartphone,181.79,126.62,55.17,4
356,12/2/2023,West,Furniture,Desk,107.42,76.15,31.27,1
357,3/17/2023,North,Clothing,Jeans,344.61,215.73,128.88,2
358,3/23/2024,West,Electronics,Headphones,450.12,290.29,159.83,3
359,1/1/2023,South,Clothing,T-Shirt,485.43,386.21,99.22,3
360,6/1/2023,East,Clothing,T-Shirt,506.48,413.99,92.49,2
361,3/11/2023,South,Clothing,Jeans,400.85,253.71,147.14,3
362,9/7/2024,East,Furniture,Office Chair,36.56,24.79,11.77,2
363,5/17/2024,North,Furniture,Desk,433.21,357.1,76.11,5
364,7/25/2023,West,Furniture,Bookshelf,512.12,362.31,149.81,2
365,4/7/2023,East,Furniture,Bookshelf,551.17,358.44,192.73,3
366,1/4/2023,South,Electronics,Laptop,690.6,482.84,207.76,2
367,4/6/2024,West,Furniture,Desk,113.07,94.12,18.95,5
368,2/13/2024,East,Clothing,Jeans,176.71,111.63,65.08,5
369,1/31/2024,North,Clothing,Jacket,667.25,439.81,227.44,2
370,4/4/2023,North,Furniture,Office Chair,451.19,287.37,163.82,4
371,4/5/2024,West,Electronics,Smartphone,624.68,396.26,228.42,2
372,2/16/2023,West,Electronics,Laptop,713.12,457.77,255.35,4
373,3/22/2023,East,Clothing,Jacket,83.81,52.76,31.05,4
374,6/20/2023,West,Electronics,Headphones,320.53,229.74,90.79,1
375,4/3/2023,East,Electronics,Headphones,435.33,327.9,107.43,3
376,3/23/2023,West,Electronics,Tablet,257.58,214.37,43.21,1
377,12/17/2023,South,Furniture,Cabinet,372.93,293.5,79.43,2
378,5/9/2024,West,Furniture,Bookshelf,717.5,459.05,258.45,1
379,3/18/2024,West,Furniture,Office Chair,76.99,63.7,13.29,5
380,10/2/2024,South,Clothing,Jeans,413.46,264.48,148.98,1
381,7/31/2023,South,Clothing,Shoes,537.73,416.02,121.71,1
382,11/10/2024,South,Furniture,Bookshelf,504.14,350.65,153.49,1
383,3/13/2023,East,Electronics,Tablet,676.17,473.28,202.89,4
384,8/24/2023,North,Furniture,Cabinet,308.74,202.41,106.33,1
385,6/23/2023,West,Furniture,Desk,543.62,439.36,104.26,3
386,12/27/2023,North,Furniture,Desk,543.06,441.95,101.11,3
387,1/6/2023,East,Furniture,Desk,34.32,27.02,7.3,1
388,10/3/2023,South,Electronics,Laptop,404.78,269.54,135.24,4
389,6/24/2023,North,Furniture,Office Chair,71.94,54.65,17.29,5
390,6/10/2024,West,Electronics,Tablet,145.84,91.96,53.88,4
391,1/11/2023,South,Clothing,T-Shirt,594.97,412.12,182.85,2
392,3/15/2024,East,Furniture,Desk,456.76,337.03,119.73,5
393,3/1/2023,North,Electronics,Tablet,504.33,395.83,108.5,3
